Cycle,Algorithm,Length,Type
RTJ,E B2 E' B2,4,Edge
PHN,E B2 E' B2,4,Edge
HNP,E B2 E' B2,4,Edge
NPH,E B2 E' B2,4,Edge
UAW,D2 M' D2 M,4,Edge
AWU,D2 M' D2 M,4,Edge
WUA,D2 M' D2 M,4,Edge
SKQ,D2 M' D2 M,4,Edge
KQS,D2 M' D2 M,4,Edge
QSK,D2 M' D2 M,4,Edge
WCU,D2 M D2 M',4,Edge
CUW,D2 M D2 M',4,Edge
UWC,D2 M D2 M',4,Edge
SIK,D2 M D2 M',4,Edge
IKS,D2 M D2 M',4,Edge
KSI,D2 M D2 M',4,Edge
XBV,D2 S D2 S',4,Edge
BVX,D2 S D2 S',4,Edge
VXB,D2 S D2 S',4,Edge
OGM,D2 S D2 S',4,Edge
GMO,D2 S D2 S',4,Edge
MOG,D2 S D2 S',4,Edge
VDX,D2 S' D2 S,4,Edge
DXV,D2 S' D2 S,4,Edge
XVD,D2 S' D2 S,4,Edge
OEG,D2 S' D2 S,4,Edge
EGO,D2 S' D2 S,4,Edge
GOE,D2 S' D2 S,4,Edge
UCW,F2 M' F2 M,4,Edge
CWU,F2 M' F2 M,4,Edge
WUC,F2 M' F2 M,4,Edge
KIS,F2 M' F2 M,4,Edge
ISK,F2 M' F2 M,4,Edge
SKI,F2 M' F2 M,4,Edge
UAC,F2 M F2 M',4,Edge
ACU,F2 M F2 M',4,Edge
CUA,F2 M F2 M',4,Edge
QIK,F2 M F2 M',4,Edge
IKQ,F2 M F2 M',4,Edge
KQI,F2 M F2 M',4,Edge
JLT,F2 E' F2 E,4,Edge
LTJ,F2 E' F2 E,4,Edge
TJL,F2 E' F2 E,4,Edge
PFN,F2 E' F2 E,4,Edge
FNP,F2 E' F2 E,4,Edge
NPF,F2 E' F2 E,4,Edge
RLJ,F2 E F2 E',4,Edge
LJR,F2 E F2 E',4,Edge
JRL,F2 E F2 E',4,Edge
PHF,F2 E F2 E',4,Edge
HFP,F2 E F2 E',4,Edge
FPH,F2 E F2 E',4,Edge
BDV,S R2 S' R2,4,Edge
DVB,S R2 S' R2,4,Edge
VBD,S R2 S' R2,4,Edge
MEO,S R2 S' R2,4,Edge
EOM,S R2 S' R2,4,Edge
OME,S R2 S' R2,4,Edge
VDX,S L2 S' L2,4,Edge
DXV,S L2 S' L2,4,Edge
XVD,S L2 S' L2,4,Edge
OEG,S L2 S' L2,4,Edge
EGO,S L2 S' L2,4,Edge
GOE,S L2 S' L2,4,Edge
BDX,S U2 S' U2,4,Edge
DXB,S U2 S' U2,4,Edge
XBD,S U2 S' U2,4,Edge
MEG,S U2 S' U2,4,Edge
EGM,S U2 S' U2,4,Edge
GME,S U2 S' U2,4,Edge
VBX,S D2 S' D2,4,Edge
BXV,S D2 S' D2,4,Edge
XVB,S D2 S' D2,4,Edge
MGO,S D2 S' D2,4,Edge
GOM,S D2 S' D2,4,Edge
OMG,S D2 S' D2,4,Edge
XBV,S' R2 S R2,4,Edge
BVX,S' R2 S R2,4,Edge
VXB,S' R2 S R2,4,Edge
OGM,S' R2 S R2,4,Edge
GMO,S' R2 S R2,4,Edge
MOG,S' R2 S R2,4,Edge
XDB,S' L2 S L2,4,Edge
DBX,S' L2 S L2,4,Edge
BXD,S' L2 S L2,4,Edge
GEM,S' L2 S L2,4,Edge
EMG,S' L2 S L2,4,Edge
MGE,S' L2 S L2,4,Edge
VDB,S' U2 S U2,4,Edge
DBV,S' U2 S U2,4,Edge
BVD,S' U2 S U2,4,Edge
OEM,S' U2 S U2,4,Edge
EMO,S' U2 S U2,4,Edge
MOE,S' U2 S U2,4,Edge
XDV,S' D2 S D2,4,Edge
DVX,S' D2 S D2,4,Edge
VXD,S' D2 S D2,4,Edge
GEO,S' D2 S D2,4,Edge
EOG,S' D2 S D2,4,Edge
OGE,S' D2 S D2,4,Edge
CAW,B2 M' B2 M,4,Edge
AWC,B2 M' B2 M,4,Edge
WCA,B2 M' B2 M,4,Edge
SIQ,B2 M' B2 M,4,Edge
IQS,B2 M' B2 M,4,Edge
QSI,B2 M' B2 M,4,Edge
WAU,B2 M B2 M',4,Edge
AUW,B2 M B2 M',4,Edge
UWA,B2 M B2 M',4,Edge
QKS,B2 M B2 M',4,Edge
KSQ,B2 M B2 M',4,Edge
SQK,B2 M B2 M',4,Edge
TLR,B2 E' B2 E,4,Edge
LRT,B2 E' B2 E,4,Edge
RTL,B2 E' B2 E,4,Edge
FHN,B2 E' B2 E,4,Edge
HNF,B2 E' B2 E,4,Edge
NFH,B2 E' B2 E,4,Edge
RJT,B2 E B2 E',4,Edge
JTR,B2 E B2 E',4,Edge
TRJ,B2 E B2 E',4,Edge
NHP,B2 E B2 E',4,Edge
HPN,B2 E B2 E',4,Edge
PNH,B2 E B2 E',4,Edge
